SUCCESS	0x00000000
WAIT_1	0x00000001
WAIT_2	0x00000002
WAIT_3	0x00000003
WAIT_63	0x0000003f
ABANDONED	0x00000080
ABANDONED_WAIT_63	0x000000bf
USER_APC	0x000000c0
ALERTED	0x00000101
TIMEOUT	0x00000102
PENDING	0x00000103
REPARSE	0x00000104
MORE_ENTRIES	0x00000105
NOT_ALL_ASSIGNED	0x00000106
SOME_NOT_MAPPED	0x00000107
OPLOCK_BREAK_IN_PROGRESS	0x00000108
VOLUME_MOUNTED	0x00000109
RXACT_COMMITTED	0x0000010a
NOTIFY_CLEANUP	0x0000010b
NOTIFY_ENUM_DIR	0x0000010c
NO_QUOTAS_FOR_ACCOUNT	0x0000010d
PRIMARY_TRANSPORT_CONNECT_FAILED	0x0000010e
PAGE_FAULT_TRANSITION	0x00000110
PAGE_FAULT_DEMAND_ZERO	0x00000111
PAGE_FAULT_COPY_ON_WRITE	0x00000112
PAGE_FAULT_GUARD_PAGE	0x00000113
PAGE_FAULT_PAGING_FILE	0x00000114
CACHE_PAGE_LOCKED	0x00000115
CRASH_DUMP	0x00000116
BUFFER_ALL_ZEROS	0x00000117
REPARSE_OBJECT	0x00000118
RESOURCE_REQUIREMENTS_CHANGED	0x00000119
TRANSLATION_COMPLETE	0x00000120
DS_MEMBERSHIP_EVALUATED_LOCALLY	0x00000121
NOTHING_TO_TERMINATE	0x00000122
PROCESS_NOT_IN_JOB	0x00000123
PROCESS_IN_JOB	0x00000124
VOLSNAP_HIBERNATE_READY	0x00000125
FSFILTER_OP_COMPLETED_SUCCESSFULLY	0x00000126
INTERRUPT_VECTOR_ALREADY_CONNECTED	0x00000127
INTERRUPT_STILL_CONNECTED	0x00000128
PROCESS_CLONED	0x00000129
FILE_LOCKED_WITH_ONLY_READERS	0x0000012a
FILE_LOCKED_WITH_WRITERS	0x0000012b
RESOURCEMANAGER_READ_ONLY	0x00000202
WAIT_FOR_OPLOCK	0x00000367
EXCEPTION_HANDLED	0x00010001
CONTINUE	0x00010002
FLT_IO_COMPLETE	0x001c0001
OBJECT_NAME_EXISTS	0x40000000
THREAD_WAS_SUSPENDED	0x40000001
WORKING_SET_LIMIT_RANGE	0x40000002
IMAGE_NOT_AT_BASE	0x40000003
RXACT_STATE_CREATED	0x40000004
SEGMENT_NOTIFICATION	0x40000005
LOCAL_USER_SESSION_KEY	0x40000006
BAD_CURRENT_DIRECTORY	0x40000007
SERIAL_MORE_WRITES	0x40000008
REGISTRY_RECOVERED	0x40000009
FT_READ_RECOVERY_FROM_BACKUP	0x4000000a
FT_WRITE_RECOVERY	0x4000000b
SERIAL_COUNTER_TIMEOUT	0x4000000c
NULL_LM_PASSWORD	0x4000000d
IMAGE_MACHINE_TYPE_MISMATCH	0x4000000e
RECEIVE_PARTIAL	0x4000000f
RECEIVE_EXPEDITED	0x40000010
RECEIVE_PARTIAL_EXPEDITED	0x40000011
EVENT_DONE	0x40000012
EVENT_PENDING	0x40000013
CHECKING_FILE_SYSTEM	0x40000014
FATAL_APP_EXIT	0x40000015
PREDEFINED_HANDLE	0x40000016
WAS_UNLOCKED	0x40000017
SERVICE_NOTIFICATION	0x40000018
WAS_LOCKED	0x40000019
LOG_HARD_ERROR	0x4000001a
ALREADY_WIN32	0x4000001b
WX86_UNSIMULATE	0x4000001c
WX86_CONTINUE	0x4000001d
WX86_SINGLE_STEP	0x4000001e
WX86_BREAKPOINT	0x4000001f
WX86_EXCEPTION_CONTINUE	0x40000020
WX86_EXCEPTION_LASTCHANCE	0x40000021
WX86_EXCEPTION_CHAIN	0x40000022
IMAGE_MACHINE_TYPE_MISMATCH_EXE	0x40000023
NO_YIELD_PERFORMED	0x40000024
TIMER_RESUME_IGNORED	0x40000025
ARBITRATION_UNHANDLED	0x40000026
CARDBUS_NOT_SUPPORTED	0x40000027
WX86_CREATEWX86TIB	0x40000028
MP_PROCESSOR_MISMATCH	0x40000029
HIBERNATED	0x4000002a
RESUME_HIBERNATION	0x4000002b
FIRMWARE_UPDATED	0x4000002c
DRIVERS_LEAKING_LOCKED_PAGES	0x4000002d
MESSAGE_RETRIEVED	0x4000002e
SYSTEM_POWERSTATE_TRANSITION	0x4000002f
ALPC_CHECK_COMPLETION_LIST	0x40000030
SYSTEM_POWERSTATE_COMPLEX_TRANSITION	0x40000031
ACCESS_AUDIT_BY_POLICY	0x40000032
ABANDON_HIBERFILE	0x40000033
BIZRULES_NOT_ENABLED	0x40000034
WAKE_SYSTEM	0x40000294
DS_SHUTTING_DOWN	0x40000370
REPLY_LATER	0x40010001
UNABLE_TO_PROVIDE_HANDLE	0x40010002
TERMINATE_THREAD	0x40010003
TERMINATE_PROCESS	0x40010004
CONTROL_C	0x40010005
PRINTEXCEPTION_C	0x40010006
RIPEXCEPTION	0x40010007
CONTROL_BREAK	0x40010008
COMMAND_EXCEPTION	0x40010009
NT_UUID_LOCAL_ONLY	0x40020056
NT_SEND_INCOMPLETE	0x400200af
CTX_CDM_CONNECT	0x400a0004
CTX_CDM_DISCONNECT	0x400a0005
SXS_RELEASE_ACTIVATION_CONTEXT	0x4015000d
RECOVERY_NOT_NEEDED	0x40190034
RM_ALREADY_STARTED	0x40190035
LOG_NO_RESTART	0x401a000c
VIDEO_DRIVER_DEBUG_REPORT_REQUEST	0x401b00ec
GRAPHICS_PARTIAL_DATA_POPULATED	0x401e000a
GRAPHICS_DRIVER_MISMATCH	0x401e0117
GRAPHICS_MODE_NOT_PINNED	0x401e0307
GRAPHICS_NO_PREFERRED_MODE	0x401e031e
GRAPHICS_DATASET_IS_EMPTY	0x401e034b
GRAPHICS_NO_MORE_ELEMENTS_IN_DATASET	0x401e034c
GRAPHICS_PATH_CONTENT_GEOMETRY_TRANSFORMATION_NOT_PINNED	0x401e0351
GRAPHICS_UNKNOWN_CHILD_STATUS	0x401e042f
GRAPHICS_LEADLINK_START_DEFERRED	0x401e0437
GRAPHICS_POLLING_TOO_FREQUENTLY	0x401e0439
GRAPHICS_START_DEFERRED	0x401e043a
NDIS_INDICATION_REQUIRED	0x40230001
